Time,LH_VisCent_ExStr_1,LH_VisCent_ExStr_2,LH_VisCent_Striate_1,LH_VisCent_ExStr_3,LH_VisCent_ExStr_4,LH_VisCent_ExStr_5,LH_VisPeri_ExStrInf_1,LH_VisPeri_ExStrInf_2,LH_VisPeri_ExStrInf_3,LH_VisPeri_StriCal_1,LH_VisPeri_ExStrSup_1,LH_VisPeri_ExStrSup_2,LH_SomMotA_1,LH_SomMotA_2,LH_SomMotA_3,LH_SomMotA_4,LH_SomMotA_5,LH_SomMotA_6,LH_SomMotA_7,LH_SomMotA_8,LH_SomMotB_Aud_1,LH_SomMotB_Aud_2,LH_SomMotB_S2_1,LH_SomMotB_S2_2,LH_SomMotB_Aud_3,LH_SomMotB_S2_3,LH_SomMotB_Cent_1,LH_SomMotB_Cent_2,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_TempOcc_2,LH_DorsAttnA_ParOcc_1,LH_DorsAttnA_SPL_1,LH_DorsAttnA_SPL_2,LH_DorsAttnA_SPL_3,LH_DorsAttnB_PostC_1,LH_DorsAttnB_PostC_2,LH_DorsAttnB_PostC_3,LH_DorsAttnB_PostC_4,LH_DorsAttnB_FEF_1,LH_SalVentAttnA_ParOper_1,LH_SalVentAttnA_Ins_1,LH_SalVentAttnA_FrOper_1,LH_SalVentAttnA_FrOper_2,LH_SalVentAttnA_ParMed_1,LH_SalVentAttnA_FrMed_1,LH_SalVentAttnA_FrMed_2,LH_SalVentAttnB_IPL_1,LH_SalVentAttnB_PFCl_1,LH_SalVentAttnB_Ins_1,LH_SalVentAttnB_PFCmp_1,LH_LimbicB_OFC_1,LH_LimbicB_OFC_2,LH_LimbicA_TempPole_1,LH_LimbicA_TempPole_2,LH_LimbicA_TempPole_3,LH_LimbicA_TempPole_4,LH_ContA_Temp_1,LH_ContA_IPS_1,LH_ContA_IPS_2,LH_ContA_IPS_3,LH_ContA_PFCd_1,LH_ContA_PFClv_1,LH_ContA_PFCl_1,LH_ContA_PFCl_2,LH_ContA_PFCl_3,LH_ContA_Cingm_1,LH_ContB_Temp_1,LH_ContB_IPL_1,LH_ContB_PFCl_1,LH_ContB_PFClv_1,LH_ContB_PFClv_2,LH_ContC_pCun_1,LH_ContC_pCun_2,LH_ContC_Cingp_1,LH_DefaultA_IPL_1,LH_DefaultA_PFCd_1,LH_DefaultA_pCunPCC_1,LH_DefaultA_pCunPCC_2,LH_DefaultA_pCunPCC_3,LH_DefaultA_PFCm_1,LH_DefaultA_PFCm_2,LH_DefaultA_PFCm_3,LH_DefaultB_Temp_1,LH_DefaultB_Temp_2,LH_DefaultB_Temp_3,LH_DefaultB_Temp_4,LH_DefaultB_IPL_1,LH_DefaultB_PFCd_1,LH_DefaultB_PFCd_2,LH_DefaultB_PFCd_3,LH_DefaultB_PFCd_4,LH_DefaultB_PFCv_1,LH_DefaultB_PFCv_2,LH_DefaultB_PFCv_3,LH_DefaultB_PFCv_4,LH_DefaultC_IPL_1,LH_DefaultC_Rsp_1,LH_DefaultC_PHC_1,LH_TempPar_1,LH_TempPar_2,RH_VisCent_ExStr_1,RH_VisCent_ExStr_2,RH_VisCent_Striate_1,RH_VisCent_ExStr_3,RH_VisCent_ExStr_4,RH_VisCent_ExStr_5,RH_VisPeri_ExStrInf_1,RH_VisPeri_ExStrInf_2,RH_VisPeri_StriCal_1,RH_VisPeri_ExStrSup_1,RH_VisPeri_ExStrSup_2,RH_VisPeri_ExStrSup_3,RH_SomMotA_1,RH_SomMotA_2,RH_SomMotA_3,RH_SomMotA_4,RH_SomMotA_5,RH_SomMotA_6,RH_SomMotA_7,RH_SomMotA_8,RH_SomMotA_9,RH_SomMotA_10,RH_SomMotA_11,RH_SomMotB_Aud_1,RH_SomMotB_Aud_2,RH_SomMotB_S2_1,RH_SomMotB_S2_2,RH_SomMotB_S2_3,RH_SomMotB_S2_4,RH_SomMotB_Cent_1,RH_DorsAttnA_TempOcc_1,RH_DorsAttnA_ParOcc_1,RH_DorsAttnA_SPL_1,RH_DorsAttnA_SPL_2,RH_DorsAttnA_SPL_3,RH_DorsAttnA_SPL_4,RH_DorsAttnB_PostC_1,RH_DorsAttnB_PostC_2,RH_DorsAttnB_PostC_3,RH_DorsAttnB_PostC_4,RH_DorsAttnB_FEF_1,RH_SalVentAttnA_ParOper_1,RH_SalVentAttnA_PrC_1,RH_SalVentAttnA_Ins_1,RH_SalVentAttnA_Ins_2,RH_SalVentAttnA_FrOper_1,RH_SalVentAttnA_FrMed_1,RH_SalVentAttnA_ParMed_1,RH_SalVentAttnA_ParMed_2,RH_SalVentAttnA_FrMed_2,RH_SalVentAttnB_IPL_1,RH_SalVentAttnB_PFClv_1,RH_SalVentAttnB_PFCl_1,RH_SalVentAttnB_Ins_1,RH_SalVentAttnB_Ins_2,RH_SalVentAttnB_PFCmp_1,RH_LimbicB_OFC_1,RH_LimbicB_OFC_2,RH_LimbicB_OFC_3,RH_LimbicB_OFC_4,RH_LimbicA_TempPole_1,RH_LimbicA_TempPole_2,RH_LimbicA_TempPole_3,RH_LimbicA_TempPole_4,RH_ContA_IPS_1,RH_ContA_IPS_2,RH_ContA_PFCd_1,RH_ContA_PFCl_1,RH_ContA_PFCl_2,RH_ContA_Cingm_1,RH_ContB_Temp_1,RH_ContB_Temp_2,RH_ContB_IPL_1,RH_ContB_IPL_2,RH_ContB_PFCld_1,RH_ContB_PFCld_2,RH_ContB_PFClv_1,RH_ContB_PFClv_2,RH_ContB_PFCmp_1,RH_ContB_PFCld_3,RH_ContC_pCun_1,RH_ContC_pCun_2,RH_ContC_Cingp_1,RH_DefaultA_IPL_1,RH_DefaultA_PFCd_1,RH_DefaultA_pCunPCC_1,RH_DefaultA_PFCm_1,RH_DefaultA_PFCm_2,RH_DefaultA_PFCm_3,RH_DefaultB_Temp_1,RH_DefaultB_AntTemp_1,RH_DefaultB_PFCd_1,RH_DefaultB_PFCv_1,RH_DefaultC_IPL_1,RH_DefaultC_Rsp_1,RH_DefaultC_PHC_1,RH_TempPar_1,RH_TempPar_2,RH_TempPar_3,RH_TempPar_4
0,-1.4396,-1.3209,-1.3372,-1.1264,-0.86228,-1.4346,-1.216,-1.4442,-1.4074,-1.0189,-1.4945,-1.4698,-1.3544,-1.199,-1.1421,-1.2282,-1.327,-1.3005,-1.189,-1.4431,-1.5466,-1.0273,-1.1927,-1.2964,-1.2128,-1.2637,-1.2938,-1.2395,-1.2164,-1.5263,-1.0259,-0.94649,-0.92103,-1.169,-1.0115,-0.76554,-0.91891,-0.95271,-1.1053,-1.2078,1.7824,1.2251,1.0744,1.6844,1.3685,1.4217,1.2064,1.3187,1.4838,1.1212,0.94428,1.4807,1.2928,1.7166,1.163,1.4908,1.3072,1.1854,1.4444,1.2704,1.7587,1.3426,1.2881,1.308,1.1814,1.5388,1.6098,1.287,1.5954,1.1883,1.191,1.1042,1.2239,1.0533,0.81267,1.2696,1.3069,1.1629,1.196,1.0648,-0.30004,0.060901,0.076557,-0.16651,-0.050016,-0.11942,-0.089376,-0.091153,-0.53058,-0.073337,-0.39172,-0.12256,-0.13799,-0.18988,-0.15926,-0.24048,0.027888,-0.33766,0.20573,0.017947,-0.1414,-0.11897,-0.090681,0.052035,-0.21163,-0.11144,0.032307,-0.32965,-0.1238,-0.36474,-0.21234,0.039199,0.12189,-0.22049,-0.098559,-0.24542,-0.46351,-0.1059,0.1666,-0.12949,-1.3825,-1.0663,-1.4179,-1.3744,-1.2869,-0.92762,-1.3229,-1.3241,-1.483,-1.2585,-1.2644,-1.043,-1.1823,-1.0605,-1.2712,-1.287,-1.2356,-1.6095,-1.3644,-1.3464,-1.1323,-1.3911,-1.2045,-0.98532,-0.86633,-1.428,-1.5653,-1.4418,-0.81964,-1.1944,-1.4784,-1.3863,-1.86,-1.4334,-1.5713,-1.2846,-1.7692,-1.5955,-1.8793,-0.86328,-1.6594,-1.91,-1.675,-1.652,-1.7359,-1.2735,-1.4441,-1.7075,-2.1428,-2.1307,-1.4757,-1.976,-1.5491,-1.8276,-1.3319,0.40566,0.41303,0.22378,-0.0057904,0.3669,0.084206,0.21767,0.65533,0.22964,-0.16029,0.5041,0.34415,0.50753,0.69056,0.084081,0.39898,0.99647,0.19447,0.11981,1.0048,0.045665,0.405,0.32238,0.36025,-0.16291
0.004,-1.0646,-0.41536,-0.64621,-0.62397,-0.41619,-0.67788,-0.475,-0.49303,-0.91238,-0.35458,-0.92646,-0.84095,-0.68262,-0.48532,-0.61607,-0.67677,-0.66538,-0.90881,-0.87859,-0.62138,-1.1897,-0.54108,-0.43493,-0.89345,-0.55289,-0.83525,-0.88398,-0.63203,-0.68969,-0.70742,-0.39823,-0.32654,-0.50702,-0.65146,-0.52754,-0.34965,-0.44274,-0.52655,-0.37361,-0.43926,2.0598,1.7572,1.9196,2.1096,1.7674,2.456,2.1268,2.3065,2.0562,1.6781,1.8083,2.442,1.9351,2.4734,1.6847,2.082,1.9426,1.8446,2.0558,1.904,2.2137,1.831,2.0799,2.0431,1.9086,2.264,2.0828,1.8971,2.2078,1.8699,2.2378,2.1266,2.041,1.8685,1.7305,2.1617,2.0289,1.6885,1.8573,1.9946,0.66958,0.57463,0.91164,0.597,0.68072,0.34421,0.63085,0.7069,0.35355,0.21125,0.50819,0.59834,0.65782,0.76906,0.51422,0.4875,0.63849,0.61916,0.71782,0.36278,0.29779,0.69006,0.50661,0.54444,0.55478,0.49715,0.52324,0.33353,0.8224,0.48625,0.23596,0.83234,0.66875,0.46613,0.68752,0.53465,0.48877,0.53069,0.74918,0.27117,-0.44649,-0.59447,-0.45295,-0.81278,-0.73478,0.011177,-0.74766,-0.54803,-0.64667,-0.67187,-0.57087,-0.28785,-0.34227,-0.33153,-0.43415,-0.40903,-0.88489,-0.62008,-0.52384,-0.72282,-0.26844,-0.66484,-0.41954,-0.52232,-0.42215,-0.58313,-0.24497,-0.61582,-0.19597,-0.24833,-1.3064,-0.73384,-1.0809,-1.3841,-0.99216,-1.3772,-1.4018,-1.3725,-1.2874,-0.88179,-1.1292,-1.6429,-1.2793,-1.2936,-1.4534,-1.3566,-1.4308,-1.2156,-1.5425,-1.436,-1.1597,-1.3847,-1.1888,-1.3256,-1.0467,1.252,1.5026,1.4161,1.2168,1.1588,1.2086,1.3233,1.3859,1.3806,1.3173,1.4507,1.2441,1.1989,1.6484,1.2734,1.5314,1.6484,1.273,1.4662,1.466,1.0412,0.91119,1.2604,1.3357,1.1145
0.008,0.14111,0.47067,0.10776,0.25742,0.25033,0.17218,0.99306,0.10708,0.20847,0.23856,0.034181,0.21061,0.35367,0.6112,0.39671,0.30258,0.4783,0.083692,0.29225,0.57991,-0.25184,0.37334,0.51317,0.07409,0.37732,0.33397,-0.15395,0.28774,0.33842,0.74347,0.56196,0.17756,0.2918,0.15904,0.16873,0.48357,0.3791,0.54818,0.74876,0.52019,2.7821,2.8532,2.9663,2.7976,2.5818,3.2467,3.0543,3.1592,2.6935,2.7173,2.6287,3.1994,2.7764,3.3356,2.7247,2.686,2.781,2.7973,3.154,2.453,2.5377,2.715,3.0206,3.0186,2.9012,3.1461,2.5484,2.78,2.9973,2.818,3.3436,3.1067,2.5715,2.8255,2.6873,2.7363,2.9469,2.5584,2.6639,2.9937,1.7894,1.0155,1.8104,1.4216,1.7989,1.1809,1.7511,1.9031,1.3168,1.3198,1.5113,1.9165,1.495,1.4862,1.5736,1.4011,1.4104,1.5773,1.8749,1.3393,1.024,1.5893,1.3327,1.8408,1.2352,1.4714,1.1961,1.2587,1.4933,1.4457,1.1476,1.7406,1.3311,1.5157,1.6547,1.2635,1.1244,1.2766,1.4215,1.2079,0.50913,0.30403,0.60866,0.32932,0.33224,0.95726,0.73507,0.40676,0.34389,0.65223,0.44858,0.70341,0.37785,0.55661,0.86005,0.58536,-0.018485,0.63216,0.53749,0.0048518,0.44022,0.24525,0.79114,0.21429,0.4367,0.10861,0.46549,0.10219,0.70444,0.64897,-0.82894,-0.23338,-0.7438,-0.71,-0.52516,-1.1062,-0.58204,-0.91012,-0.71211,-0.37352,-0.60525,-1.2751,-0.85891,-0.75997,-1.2286,-1.0557,-1.0592,-0.21464,-1.1164,-1.0431,-0.35795,-0.89252,-0.60629,-0.55116,-0.62046,2.3976,2.4538,2.7858,2.6797,2.467,2.5239,2.637,2.835,2.3036,2.2747,2.6489,2.5451,2.6276,2.803,2.6984,2.5644,2.5841,2.4948,2.5324,2.4824,2.289,2.0137,2.2266,2.6237,2.4894
0.012,1.2415,1.6574,0.93267,1.066,1.1363,0.93624,2.062,0.52214,0.83064,0.79401,1.0538,1.3534,1.0042,1.2514,1.2909,1.3482,1.1801,0.75707,1.1015,1.2786,0.5526,1.4687,1.6022,0.9684,1.1713,0.90749,0.525,1.0252,1.0139,1.4246,1.6408,0.94164,0.92765,0.97654,0.80761,1.4248,1.295,1.2942,1.4272,1.283,3.5382,3.4966,4.0467,3.5923,3.3033,4.1399,3.7993,3.7784,3.5463,3.5252,3.6422,3.8329,3.623,4.1578,3.4831,3.5995,3.7057,3.713,3.9005,3.3704,3.2174,3.4095,3.6007,3.8014,3.6246,3.806,3.1159,3.533,3.828,3.3098,3.7468,3.8601,3.3692,3.7395,3.4715,3.4888,3.9239,3.4484,3.3622,3.5436,2.4086,1.6641,2.3958,2.1903,2.5383,2.3032,2.5836,2.7499,2.1906,2.1776,2.2952,2.3684,2.1954,2.2442,2.5739,2.0275,2.1549,2.5739,2.5086,2.1594,2.0196,2.5321,2.4767,2.3189,2.3572,2.5222,1.8301,2.1693,2.0242,2.522,1.9594,2.4497,2.042,2.1771,2.6706,1.951,2.0725,2.51,2.2856,2.1784,1.3299,1.1335,1.4166,0.80853,1.4299,1.5779,1.5885,0.99151,1.4223,1.5648,1.4217,1.5084,1.2071,1.6956,1.8977,1.9055,0.88011,1.3443,1.3057,0.82646,1.1809,1.0972,2.0202,1.2511,1.361,1.0007,1.3703,0.92821,1.6468,1.3305,-0.54288,0.25629,-0.62787,-0.39407,0.12485,-0.41553,0.013429,-0.47682,-0.031185,0.36442,-0.21831,-1.0628,-0.5957,-0.35981,-0.92753,-0.63192,-0.59868,0.40261,-0.84228,-0.3461,0.12338,-0.1611,0.004237,0.094489,-0.21501,3.4371,3.4553,3.8839,3.5149,3.7579,3.3551,3.7133,3.7816,3.6526,3.5861,3.7457,3.7798,3.7683,3.6308,3.5017,3.3931,3.3524,3.7215,3.6359,3.6328,3.2986,3.3036,3.3323,3.6122,3.6819
0.016,1.1702,2.1653,0.9347,1.17,1.4441,1.4752,2.3039,0.63781,1.3262,0.96084,1.5089,1.8927,1.2637,1.3951,1.8575,1.8381,1.6776,1.1749,1.7173,1.2397,0.57191,1.8361,1.8255,1.3235,1.1422,1.3962,0.81161,1.4282,1.1777,1.7228,1.9839,1.4227,1.2792,1.3531,1.0478,1.8261,2.096,1.4629,1.8456,1.583,4.4037,4.2004,4.674,3.9629,3.8554,4.8278,4.3711,4.7789,4.2424,4.0934,4.3221,4.0728,4.2795,4.4647,4.1046,4.3191,4.0356,4.3357,4.3989,4.3497,3.8971,4.4061,4.2126,4.422,4.0734,4.2266,3.9462,4.238,4.4299,3.9174,4.3422,4.3711,4.2223,4.2255,3.9153,4.1296,4.6085,4.1015,4.0822,4.3,2.9037,2.3673,3.2424,2.5431,3.3845,3.0269,3.0721,3.1882,2.6422,2.9629,2.9337,2.9324,2.936,3.1856,3.1134,2.9126,2.7703,3.2049,3.0614,2.8415,2.9095,3.2798,3.2677,2.5984,2.8291,3.0963,2.8341,3.1635,2.6414,3.181,2.9333,3.2378,2.9391,2.7693,3.3814,2.6317,2.8692,3.3579,3.0559,2.7827,2.0807,1.6225,2.2273,1.4017,2.0949,2.253,2.1267,1.7984,2.1112,2.2685,2.0542,2.1244,2.0499,2.405,2.3723,2.5613,1.6562,1.6405,1.8616,1.5641,1.578,1.7784,2.4852,1.8405,2.0252,1.5339,2.0425,1.4023,2.062,1.7147,-0.47068,0.68206,-0.0057705,0.013431,0.67354,-0.10305,0.17713,0.12003,0.19034,0.87452,0.35432,-0.44308,-0.26905,0.15329,-0.64064,-0.14806,-0.17006,0.88766,-0.26756,-0.20515,0.18267,0.25311,0.46904,0.56687,0.13493,4.1844,4.2771,4.5043,4.3369,4.3947,4.1012,4.3716,4.3383,4.2728,4.3987,4.6425,4.3992,4.6932,4.3876,4.3356,4.1445,4.233,4.5326,4.1998,4.4641,4.4131,4.0824,4.3017,4.2515,4.1956
0.02,2.2996,2.9682,1.8753,2.0145,2.6564,2.4753,3.1189,1.5434,2.3754,2.2322,2.565,2.7628,2.1974,2.5157,2.8685,2.9887,2.0321,2.0969,2.6857,2.1215,1.528,2.8686,2.7623,2.5749,2.2192,2.3002,1.5595,2.387,2.2108,2.6609,3.0164,2.5467,2.2709,2.2865,1.9863,2.9581,3.2089,2.4531,3.0657,2.3791,5.2259,5.1429,5.3613,4.606,4.4545,5.4955,5.1749,5.4251,4.9882,4.5786,5.1491,4.7612,5.0735,5.2053,4.7632,4.9307,5.1469,5.0844,5.369,5.156,4.7031,5.0566,5.3184,5.0215,4.9395,5.0983,4.7674,5.1794,5.345,4.5053,5.4296,5.5899,5.1721,5.0159,4.5478,4.9238,5.1728,4.7144,4.7836,4.8698,3.5756,3.2029,3.7872,3.3808,3.9182,3.6575,3.7946,3.8157,3.1957,3.4842,3.5923,3.7681,3.4216,3.8672,3.7564,3.4969,3.5478,3.303,4.0075,3.6518,3.9525,4.1714,3.575,3.1742,3.1469,3.9296,3.3941,3.5948,3.417,3.9505,3.7281,3.9414,3.6664,3.6331,4.0876,3.5481,3.125,4.1869,3.719,3.8977,2.8221,1.9416,2.8028,2.1042,2.3737,3.236,2.8148,2.6391,2.6707,2.9909,3.0366,2.7636,2.6581,2.966,2.7228,3.7361,1.9251,2.2364,2.1457,2.581,2.2825,2.4226,3.0056,2.7492,2.4857,2.249,2.4583,1.8217,2.7614,2.5315,-0.062735,1.222,0.46965,0.86676,1.3731,0.84393,0.61576,0.35913,1.007,1.3001,0.84326,-0.071832,0.23408,0.73337,-0.25509,0.3446,0.41321,1.4271,0.11307,0.11564,0.6284,0.61674,1.091,1.0409,0.57515,5.1918,5.2022,5.5456,5.1264,5.4534,5.419,5.3623,5.3432,5.4364,5.4034,5.4778,5.584,5.8357,5.6044,5.0352,5.497,5.0279,5.5429,5.3102,5.6264,5.6699,5.2308,5.2181,5.4186,5.1379
0.024,3.9215,4.6449,3.3187,3.4465,4.0203,4.1572,4.9898,2.8188,3.7375,3.6161,3.6533,4.3248,3.8249,4.4337,4.1415,4.512,3.7212,3.6285,4.0483,4.0447,3.1388,4.2353,4.2328,4.1928,3.6882,3.9578,3.2757,4.0007,3.623,4.3205,4.7567,3.8693,3.922,3.5656,3.6883,4.5834,4.3083,4.2821,4.8781,4.1448,5.9254,5.9258,6.2105,5.2601,5.1356,5.8249,5.5787,6.0471,6.0904,4.9293,5.9011,5.4572,6.2809,6.2027,5.3096,5.8916,5.9637,6.248,6.1252,5.8865,5.6102,5.3785,5.6329,6.0649,5.3812,5.8857,5.5636,6.1673,6.3203,5.422,6.2976,6.2579,5.9674,5.8995,5.1172,5.7521,6.068,5.8201,5.3633,5.9288,4.2608,3.5749,4.3504,4.0483,4.9173,4.5056,4.374,4.4153,3.8704,4.1953,4.2645,4.544,4.0892,4.6561,4.2315,3.9466,3.9155,4.0709,4.7248,4.2681,4.6862,4.7633,4.2299,3.6344,3.4031,4.5416,3.9493,4.081,4.1907,4.3679,4.2755,4.5992,4.0976,4.5622,4.6035,4.3693,3.7146,4.8196,4.3582,4.2545,3.2484,2.2907,3.4715,2.5275,3.0287,3.8019,3.2535,3.0984,3.0997,3.6109,3.6101,3.183,3.0839,3.9218,3.3285,4.3786,2.6234,2.6941,2.5842,3.0366,2.9129,2.8151,3.4408,2.9923,2.9169,2.7521,2.7687,2.622,3.2766,2.8419,0.53196,1.9956,1.3646,1.4878,2.3241,1.5186,1.5786,0.58371,2.0036,1.6526,1.193,-0.21145,0.68878,1.7024,-0.051975,1,0.96971,2.0057,0.17414,0.23049,1.0564,1.3956,1.3396,1.7628,0.93693,6.6545,6.1302,6.3421,6.8009,6.6938,6.5845,6.616,6.6193,6.224,6.8738,6.739,6.8649,6.8188,6.9554,6.0035,6.5618,6.4616,7.176,6.3359,6.5962,6.3796,6.5802,6.4504,6.7864,6.4082
0.028,4.5604,5.2367,3.6472,4.1921,4.562,4.6522,5.7702,3.6222,4.1694,4.2615,4.3501,4.9349,4.3021,4.8738,4.9852,5.0131,4.5465,4.125,4.9344,5.0805,3.7317,4.6228,5.1463,4.3881,4.3611,4.4462,4.0362,4.9211,4.17,4.9471,5.5885,4.4357,4.5338,4.3013,4.2072,5.1292,4.6975,4.6435,5.4667,4.8138,6.0999,6.4862,6.6142,6.0413,5.2894,6.2036,6.1235,6.6984,6.6265,5.6502,6.2816,5.8655,6.6505,6.7464,5.7977,6.3899,6.3275,6.6559,6.4433,6.6489,5.7644,6.1086,6.0417,6.6566,5.7526,6.419,5.9118,6.6064,6.5094,5.9264,6.6422,6.8063,6.0242,6.323,5.6914,6.1717,6.5676,6.3305,5.9361,6.8258,4.8333,3.9188,4.7266,4.3676,5.3359,5.0128,4.7413,4.8095,4.4874,4.6141,4.4173,5.0607,4.4657,4.8115,4.7366,4.447,4.2558,4.6408,4.9636,4.7017,5.0044,4.8163,4.6091,3.9419,3.7146,4.7796,4.5279,4.2607,4.3292,4.6467,4.586,4.8442,4.3439,5.1934,5.0912,4.5533,4.1229,5.0163,4.8698,4.3165,3.5593,2.6089,3.6852,2.3572,3.2458,3.8768,3.237,2.7831,3.2528,3.857,3.78,3.3036,2.8173,4.2776,3.7204,4.2955,2.9074,3.0933,2.9528,3.0601,3.1079,3.2148,3.6441,2.9175,3.0721,3.03,3.2945,2.9702,3.2099,2.6326,1.2534,2.1653,1.6623,1.7012,2.6254,1.5013,2.1121,0.94451,2.3659,1.6202,1.542,0.15879,1.0671,2.294,0.20473,1.099,1.4995,2.3466,0.3596,0.52548,1.3699,1.9164,1.8684,2.3145,1.2599,7.0552,6.5738,6.8664,7.3073,7.1615,7.1488,6.8249,7.1226,6.6791,7.5589,7.1545,7.4575,7.1462,7.5187,6.5048,6.8769,6.8604,7.7314,6.9553,6.8861,6.7968,7.158,7.1154,7.2071,6.739
0.032,5.9608,6.4196,5.1958,5.3812,5.7424,5.6944,7.0995,4.8515,5.1401,5.7078,5.6673,6.0571,5.5754,6.0819,6.2148,6.2808,5.412,5.643,6.3673,6.5141,4.9761,5.9791,6.2514,5.5434,5.3256,5.8178,5.1508,6.2439,5.689,6.2749,6.6806,5.6845,6.0759,5.4755,5.399,6.3794,5.8079,5.7266,6.811,6.0766,6.4403,7.0701,7.613,6.3318,5.7309,6.4865,6.8273,6.9184,6.949,6.1669,6.648,6.5935,7.0472,7.5007,6.2017,6.7556,6.7867,7.2273,7.0884,6.9855,6.2781,6.6649,6.823,7.1236,6.0053,7.0217,6.37,7.1301,7.2721,6.6434,7.1451,7.4253,6.7223,6.9023,6.0991,6.939,6.849,6.7807,6.4073,7.2965,5.2437,4.2155,5.2491,4.8239,5.8998,5.5126,5.5202,5.4005,4.9706,5.06,4.7885,5.475,4.6051,5.1885,5.1783,4.4189,3.9979,5.1074,5.5975,5.0662,5.4881,5.2181,5.078,4.4138,3.7161,5.0654,4.9457,4.5081,4.6674,5.1673,4.6247,4.955,4.7473,5.8888,5.6743,5.0107,4.1222,5.5812,4.8488,4.8195,3.6332,2.8706,3.7177,2.2165,3.5318,4.0575,3.3691,2.7772,3.4346,3.7108,3.9326,3.4274,2.6957,4.4136,3.8109,4.5077,2.6601,2.9814,3.1554,2.8463,3.2803,3.181,3.9593,2.9654,3.1833,3.5936,3.7322,3.045,3.0357,3.0069,1.5788,2.2674,1.9932,2.1764,3.0381,1.6192,2.5788,1.1728,2.5879,2.1548,2.1373,0.3766,1.3376,2.7051,0.8683,1.3392,1.4168,2.8123,0.55376,0.77308,1.4544,2.2944,2.3536,2.6072,1.5158,7.7148,7.1141,7.6088,7.8042,7.7528,8.0098,7.2024,7.9674,7.4353,7.9756,7.9293,7.9282,7.6691,8.2281,7.022,7.5578,7.6438,8.6549,7.7204,7.8317,7.6511,7.8599,7.7499,7.8662,7.456
0.036,7.0294,7.5285,6.4887,6.5937,7.1133,7.2835,8.4211,6.0862,6.6281,6.9413,6.8574,7.2203,6.7319,7.4007,7.3849,7.5082,6.4926,7.0914,7.6834,7.8884,6.3429,7.414,7.0532,6.8662,6.6691,7.0747,6.3962,7.22,7.0834,7.5964,7.841,7.2115,7.6467,6.6043,7.0403,7.9067,7.1203,7.0659,7.9051,7.2129,6.829,7.4587,7.888,6.4899,6.1571,6.8894,7.0358,6.9949,7.2244,6.4457,7.0686,6.9757,7.3942,7.9092,6.2388,6.949,7.6496,7.8141,7.7804,7.2922,6.5641,6.7213,7.2162,7.4936,6.5494,7.3711,6.6563,7.3138,7.9688,7.1047,7.6916,8.1789,7.0699,7.4763,6.2114,7.2959,7.3377,7.0689,7.0256,7.6672,5.4189,4.5275,5.3924,4.9587,6.036,5.9733,5.6526,5.5089,5.0212,5.5094,5.0875,5.795,4.9631,5.0891,5.3689,4.4294,4.1611,5.021,5.9793,5.3644,5.7086,5.9726,5.2602,4.7118,3.6818,5.1826,5.4362,4.681,4.9655,5.4298,4.8039,5.0673,5.5029,6.1195,5.9263,5.4564,4.2352,5.9222,4.9369,5.0236,3.7881,2.4613,3.7146,2.2429,3.4955,4.0503,3.4474,2.6428,3.0372,3.9339,3.9453,3.157,2.5284,4.2305,3.7557,4.2962,2.3763,2.7353,2.9961,2.956,3.3599,2.5572,3.7016,2.9324,3.0222,3.4716,3.546,3.1566,2.8237,3.1642,2.0064,2.7635,2.3981,2.7138,3.4347,2.1763,3.0011,1.5286,3.0699,2.6238,2.4154,0.53618,1.6558,3.0667,0.78993,1.7076,1.5784,3.3708,0.97345,1.4414,1.7739,2.9219,2.8212,2.6877,1.527,8.8188,7.5657,8.0778,8.1503,8.3437,8.4487,7.7673,8.7802,8.0493,8.5757,8.5092,8.1324,8.0444,8.7531,7.2012,7.9471,8.4465,9.377,8.3983,8.6129,8.1738,8.2963,8.1276,8.4794,8.4244
